setting,stage,step,row_type,math500,math500_population_std,gsm8k,gsm8k_population_std,olympiad,olympiad_population_std,amc_avg32,amc_avg32_population_std,math_avg,math_avg_population_std,amc_greedy,amc_greedy_population_std,humaneval_plus,humaneval_plus_population_std,mbpp,mbpp_population_std,livecodebench,livecodebench_population_std,code_avg,code_avg_population_std,gpqa_diamond,gpqa_diamond_population_std,mmlu_pro,mmlu_pro_population_std,reasoning_avg,reasoning_avg_population_std,gpqa_freeform,gpqa_freeform_population_std,ceval,ceval_population_std,ifeval,ifeval_population_std,mgsm,mgsm_population_std,language_avg,language_avg_population_std
TriGLU,GRPO,158,checkpoint,69.19999999999999,,82.94162244124337,,26.814814814814813,,33.359375,,53.07895306401454,,40.0,,59.14634146341463,,30.401339999999998,,10.994843601895735,,33.51417502177012,,26.766010101010103,,33.99051612367022,,30.37826311234016,,5.555555555555555,,46.582176820208026,,28.51303983228512,,59.41660363636364,,44.83727342961893,
TriGLU,GRPO,196,checkpoint,66.8,,82.71417740712661,,28.296296296296298,,33.671875,,52.87058717585573,,37.5,,61.58536585365854,,28.60104,,10.806824644549764,,33.66441016606944,,26.767575757575756,,34.25906000664894,,30.513317882112347,,4.761904761904762,,47.39932392273403,,26.834318658280925,,57.563745454545455,,43.93246267852013,
TriGLU,GRPO,226,checkpoint,66.2,,82.63836239575436,,29.777777777777775,,33.828125,,53.11106629338303,,37.5,,60.97560975609756,,30.59868,,10.902616113744076,,34.15896862328055,,25.253535353535355,,34.10107297207447,,29.677304162804912,,5.555555555555555,,47.54823922734026,,26.6241928721174,,60.1464,,44.772944033152555,
TriGLU,GRPO,256,checkpoint,68.8,,83.54814253222138,,26.37037037037037,,32.109375,,52.70697197564793,,37.5,,61.58536585365854,,27.60038,,11.376218009478674,,33.520654621045736,,24.241969696969694,,34.35288397606383,,29.297426836516763,,7.936507936507936,,48.218320950965825,,27.672641509433966,,59.565672727272734,,45.15221172922418,
TriGLU,GRPO,294,checkpoint,66.60000000000001,,82.86580742987113,,29.037037037037038,,34.375,,53.21946111672704,,37.5,,60.97560975609756,,29.2,,10.142180094786731,,33.4392632836281,,29.799999999999997,,32.769999999999996,,31.284999999999997,,7.936507936507936,,47.989999999999995,,27.46,,46.0,,40.48333333333333,
TriGLU mean +/- pop. std,GRPO summary,,summary,67.52000000000001,1.2302845199383707,82.94162244124337,0.32165585194232504,28.05925925925926,1.2935632564707005,33.46875,0.7551903733496608,52.99740792512565,0.18401738909467766,38.0,1.0,60.853658536585364,0.8961547839450673,29.280288000000002,1.1211449459619387,10.844536492890995,0.400843460198637,33.65949434315879,0.26015173072856645,26.56581818181818,1.8795250974052855,33.89470661569149,0.5760922483953558,30.23026239875484,0.691439226865498,6.349206349206349,1.328031788149326,47.54761218424962,0.5656169150764216,27.42083857442348,0.6688036946731447,56.53848436363637,5.3399495908339265,43.835645040769826,1.7240942035986988
Whole-layer baseline,GRPO,158,checkpoint,66.8,,82.94162244124337,,26.37037037037037,,33.75,,52.46549820290344,,35.0,,59.756097560975604,,29.59796,,9.763706161137442,,33.03925457403768,,28.28318181818182,,34.432074468085105,,31.35762814313346,,6.349206349206349,,45.392117384843985,,26.416016771488472,,58.90897090909091,,43.57236835514112,
Whole-layer baseline,GRPO,196,checkpoint,67.2,,82.03184230477635,,24.88888888888889,,32.65625,,51.694245298416305,,37.5,,60.97560975609756,,28.201519999999995,,9.763971563981043,,32.98036710669287,,22.72737373737374,,34.532516622340424,,28.62994517985708,,4.761904761904762,,45.69248885586924,,27.045890985324945,,59.01656363636364,,43.91831449251928,
Whole-layer baseline,GRPO,226,checkpoint,67.4,,82.63836239575436,,25.77777777777778,,35.15625,,52.74309754338303,,32.5,,60.36585365853659,,29.5998,,10.046018957345972,,33.337224205294184,,25.24954545454546,,34.026560006648936,,29.638052730597195,,3.1746031746031744,,46.28405646359583,,25.997589098532494,,58.72558545454546,,43.66907700555793,
Whole-layer baseline,GRPO,256,checkpoint,66.8,,81.72858225928734,,25.037037037037035,,33.828125,,51.84843607408109,,40.0,,57.92682926829268,,28.80006,,9.666919431279622,,32.131269566524104,,27.778131313131315,,34.46621509308511,,31.12217320310821,,3.968253968253968,,46.73136701337295,,27.883542976939207,,58.838058181818184,,44.484322724043444,
Whole-layer baseline,GRPO,294,checkpoint,66.2,,82.63836239575436,,25.48148148148148,,35.15625,,52.369023469308964,,32.5,,58.536585365853654,,27.400560000000002,,9.669715639810427,,31.868953668554695,,28.787575757575755,,34.14291057180851,,31.465243164692133,,4.761904761904762,,46.80835066864784,,26.41654088050315,,59.309149090909095,,44.17801354668669,
Whole-layer baseline mean +/- pop. std,GRPO summary,,summary,66.88,0.41182520563948116,82.39575435936315,0.44569942249276967,25.511111111111113,0.5333333333333338,34.109375,0.9499177595981665,52.22406011761857,0.39255668034904384,35.5,2.9154759474226504,59.51219512195122,1.1309290848165514,28.71998,0.8439211843768347,9.7820663507109,0.13872057649229697,32.67141382422071,0.5674082361185069,26.565161616161618,2.272508534793682,34.32005535239362,0.19827785280714266,30.442608484277617,1.1205274729993473,4.603174603174603,1.052896758842984,46.18167607726597,0.560012496036262,26.751916142557654,0.6574670704610238,58.95966545454546,0.19876012039600602,43.964419224789694,0.33435871158790037
